NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"csb10032001fcc685a4","Storage account","cloud-shell-storage-westeurope","West Europe","Azure subscription 1"
"hr-dev-bastion-host-linuxvm-nic","Network Interface","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-bastion-host-publicip","Public IP address","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-bastion-linuxvm","Virtual machine","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-bastion-linuxvm_OsDisk_1_780896ad97f342af8e4adcb4d760e2af","Disk","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-lbpublicip","Public IP address","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-vnet","Virtual network","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-vnet-appsubnet-nsg","Network security group","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-vnet-bastionsubnet-nsg","Network security group","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-vnet-dbsubnet-nsg","Network security group","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-vnet-websubnet-nsg","Network security group","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-web-lb","Load balancer","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-web-linuxvm","Virtual machine","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-web-linuxvm-nic","Network Interface","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"hr-dev-web-linuxvm_OsDisk_1_e67e1840d8864b6796b40b811f513b5f","Disk","hr-dev-rg-nsgzko","East US","Azure subscription 1"
"NetworkWatcher_eastus","Network Watcher","networkwatcherrg","East US","Azure subscription 1"
